"","SessionTitle","SessionSpeaker","SessionLevel","day","i.SessionLevel","SessionTrack","SessionAbstract"
"222","Monitoring and Tuning SQL Reporting Services","Bob Duffy",NA,NA,"300","BI","This session will step you through how to locate SSRS performance issues, long running reports and ultimately fix performance issues.  Areas Covered are:      Reporting services architecture               Tools and processes for analysing performance               Replaying reports from production to QA               Common reporting services performance issues"
"223","Monster Text Manipulation: Regular Expressions for the DBA","Sean McCown",300,2015-03-07,"300","DBA","Have you ever needed to refactor dozens of stored procedures or create lots of user accounts from a list given to you by a business unit?    If so then you’ve probably spent too much time manually manipulating text.  Regular Expressions (regex, for short) is one of the best tools a DBA can have.  This powerful text manipulation tool can be used in any number of scripting languages, and can even be leveraged inside of SSMS. The best part? Regex is brilliantly simple--despite what you may have heard to the contrary.  In this session you'll learn the basics of regex and the differences you'll encounter when using it in SSMS rather than a scripting tool. Along the way you'll see some really cool tricks; things you'll want to use all of the time once you're aware of them.  Next we'll move into Powershell. Here regex gets the full treatment and will help you with powerful and incredible tasks, manipulating hundreds of objects at a time."
"224","My Favorite Pie (Chart)","Markus Ehrenmüller-Jensen",NA,NA,"200","BI","Pies are definitely fine for dessert :-) – but sometimes also used for reports, even if their real use case is very narrow. Do you want deliver information in an effective and efficient way? Do you think, this is crucial for you a business’ success? Even when attractiveness of a report is important, beauty is in the eye of the beholder. Research shows that we can help end-users to understand the message of the data quickly by following some simple rules. You will see how you can implement those rules with different tools of Microsoft’s BI stack – ending up with effective and efficient information delivering through beautiful dashboards. You will learn how to identify suboptimal dashboards and what you can do to improve them."
"225","My first data science experiment with Azure Machine Learning","Florian Eiden",NA,NA,"300","BI","You have invested tons into your datawarehouse, only to build static reports in SSRS. That’s sad! After all, a good star schema is the perfect foundation to easy Machine Learning. So let’s do what the analysts say and leverage all that potential synergies, directly into the Cloud! ;) Well, at least, let’s talk about Machine Learning, in words understandable by BI professionals, and check out what Azure ML is all about."
"226","My top 5 new features in SQL Server 2014","Sandip Pani",200,2015-03-05,"200","Dev","SQL server 2014 is one of the measure release. Where Microsoft has done a superb job.  There are so many enhancement we have in SQL Server 2014. In my session I will show  top 5 features i like most.  My Top 5 Features are  1- Memory-Optimized Tables 2- New Design for Cardinality Estimation 3- Incremental Statistics 4- T-SQL Enhancement 5- System view enhancement My session will be loaded with demos, because I am a developer and i don't like slide based session."
"227","Natural Born Killers, Performance Issues to Avoid","Richard Douglas",NA,NA,"300","Dev","Ever thought that you were adhering to best practices but still seeing performance problems? You might well be. In this session I will be covering topics such as why the optimizer isn’t using all available processors, when the database engine fails to report all the resources a query has used and why the optimizer doesn't always use the best plan. As an attendee you will gain a deeper understanding of common database development and administration mistakes, and how you can avoid them. You will leave this session with a list of things that you can check for in your environment to improve performance for your users."
"228","New Cardinality Estimater in SQL Server 2014","Sandip Pani",NA,NA,"200","Dev","We will first understand why accurate Cardinality Estimation is crucial. What model assumption  we have while calculating Cardinality. What are the major changes made on new CE compared to legacy CE-70. Also we will see how can we implement new CE without changing the compatibility level. In this session also I will show  Troubleshooting Methods with New CE."
"229","Ninja moves using R with SQL Server 2014 database","Dr. Subramani Paramasivam",NA,NA,"200","BI","Statistical analysis and different methodologies are being practiced in terms of dealing with junks of data. In terms of big-data there are many tools available including Hadoop, Insight to deal with it perfectly. But where does this 'R' fit in and how does it help high end analysts to answer statistical related questions.  In terms of 'R' programming analysis with SQL Server database, we can see the best possible methodologies availale to find the ways how the graphs and chart can improve its performance as well as what are the various analysis can be done with it. Prereq: Knowledge in Database T-SQL Querying 'R' Programming Concepts is a plus"
"230","No more waiting – an introduction to SQL Server wait statist","Enrico van de Laar",NA,NA,"300","DBA","When you are standing in line at the grocery store you know exactly what you’re waiting for, paying the things you intend to buy. In SQL Server things aren’t usually so simple and many times you have to wait for more than only the length of the queue or the speed of the cashier. Thankfully SQL Server gathers the exact time you have been waiting and what resource you have been waiting on. In this session we will take a look at how SQL Server gathers this information and how it can help you identify, troubleshoot and proactively solve performance issues."
"231","Normalization Beyond Third Normal Form","Hugo Kornelis",NA,NA,"400","Dev","Do you believe the myths that “Third Normal Form is good enough”, or that “Higher Normal Forms are hard to understand”? Do you believe the people who claim that these statements are myths? Or do you prefer to form your own opinion? If you take database design seriously, you cannot afford to miss this session. You will get a clear and easy to understand overview of all the higher Normal Forms: what they are, how to check if they are met, and what consequences their violations can have. This will arm you with the knowledge to reject the myths about higher Normal Forms. But, more important: it will make you a better designer! PS: I have entered this session for the DBA track, but it could equally well go into the Dev track. Every workplace appears to have their own ideas on whether the DBA or the Developer needs to be in charge of database design."
"232","Now Where Does THAT Estimate Come From?","Hugo Kornelis",NA,NA,"500","Dev","The SQL Server Query Optimizer makes its plan choices based on estimated rowcounts. If those estimates are wrong, the optimizer will very likely produce a poor plan. And there's nothing you can do about it. Or is there? In this session, you will learn exactly where these estimates come from. You will gain intimate knowledge of how statistics are used to estimate row counts, and how filters and joins further influence those estimates. Though the focus of this session is on understanding the cause of bad estimates, you will also learn some ways to fix the problems and get better estimates - and hence, better performing queries."
"233","ORM Tuning From A Database Perspective","Andre Kamman",200,2015-03-06,"200","Dev","Most ORM's tend to be very chatty and generate complex queries. Which is not a bad thing most of the time, but sometimes it get's out of hand and the queries will either be too complex or, and this I see the most, there will be way to many queries to answer relatively simple questions. Seeing thousands of queries for a simple webpage is not uncommon. In this session we will look at optimizing database access in ORM's. Using Nhibernate, LINQ &Entity Framework in the demos, we will examine how your ORM talks to the database and why. We will look at this problem from 2 sides. As a developer who would like to tweak and tune as little as possible and let the ORM do it's magic, and as a DBA who would like all queries to ask only for the data that you need to have at that time. Using a lot of demo's we will be looking at typical ORM features like Lazy Loading,Mapping, Caching, Inverse Relationships, etc. We will conclude with some best practices and lessons learned."
"234","On Transactions and Atomic Operations","Gail Shaw",100,2015-03-05,"100","Dev","If there’s one thing that we, as SQL developers, don’t do, it’s use enough transactions. Transactions are critical when multiple changes need to be made entirely or not at all, but even given that, it’s rare to see transactions used at all in most production code. In this session, we’ll look at what transactions are and why we should  use them. We’ll explore the effects transactions have on locking and the transaction log. We’ll investigate methods of handling errors and undoing data modifications, and we’ll see why nested transactions are a lie."
"235","Optimizing your SSDT Deployments faster than The Flash","Craig Ottley-Thistlethwaite",500,2015-03-07,"500","Dev","Ever wondered if you can optimize your sql projects so you don't have to do unnecessary work? Take a look at how I've optimized SSDT Deployments by a use case. This session will take a deep dive into the dacpac, and give you ideas on how you can leverage the knowledge to write your own tools, to get the best out of SSDT. The session will focus on two areas. SSDT and MSBuild."
"236","Parameter Sniffing Problem with Stored Procedures","Milos Radivojevic",300,2015-03-07,"300","Dev","Your stored procedure is slow in the application, but works perfect in SSMS! In this presentation it will be clarified why this happens and why parameter sniffing is a problem in SQL Server stored procedures. Of course we will offer several solutions for this problem and discuss which solution is applicable in which scenario."
"237","Passive Security for Hostile Environments","Bob Pusateri",NA,NA,"200","DBA","Ideal database security settings usually exist in books, but rarely in reality. Is your CIO a member of the sysadmin role because they demanded it? Or maybe some users have rights for purely political reasons? Just because you can't enforce security through typical means doesn't mean you're powerless. Attend this session to learn about the features SQL Server provides that will allow you to keep track of what your users are up to at all times and sleep a little easier. Through various scenarios and demos, see how technologies such as event notifications, auditing, and extended events can help ensure nothing happens on your system without you knowing about it. Even in optimally secured environments these techniques can still come in handy. The best security is often that which cannot be seen."
"238","Perfect Performance Platter with SQL Server 2014","Dr. Subramani Paramasivam",NA,NA,"300","DBA","With every SQL Server versions we have many performance related tools to tackle the performance related problems. What kind of tools can we use for various performance related issues? Is the commonly used SQL Server performance tools provide full support to our day to day performance issues? There are many questions that needs an answer to help every DBA & Developers to stop scratching their heads. This session throws plates full of platter and you can decide what to choose for each different scenarios that you face in your work place."
"239","Pitfalls & Misconceptions in Permission Management","Sebastian Meine",NA,NA,"200","DBA","SQL Server comes with a powerful built-in permission management system. However, as most powerful tools, this one too can be difficult to use and get right.   This is a two-part session. During the first part, we will go through a review of SQL Server security terms and concepts, particularly the GRANT, REVOKE and DENY statements. For the second part, the audience selects topics that we will cover in detail. You will be able to choose from 12 different security pitfalls and misconceptions. All these pitfalls/misconceptions have one thing in common: If you are not aware of them, you might GRANT or DENY more permissions than you intended. After attending this session, you will be able to explain important security related terms and concepts in the context of SQL Server.     grant, revoke and deny permissions and demonstrate their differences.     identify security inconsistencies in the SQL Server permission model and revise your current security plan to avoid potential issues.  To get the most out of this 200 level session, you should feel comfortable writing simple queries and creating basic tables and procedures."
"240","Plan Caching in SQL Server","Klaus Aschenbrenner",NA,NA,"300","DBA","Plan Caching is the most powerful concept in SQL Server. But on the other hand it's also the most dangerous thing that can lead to queries that are executed with a completely wrong Execution Plan. In this session we will have a more detailed look into the Plan Cache of SQL Server, in which different ways SQL Server can cache Execution Plans in the Plan Cache, and how you can troubleshooting wrong performing queries directly from the Plan Cache."
"241","Power BI Dashboarding","Marco Russo",300,2015-03-07,"300","BI","Power BI offers new features for creating dashboards on the cloud. In this session, you will learn how to create data models, display visualizations and synchronize cloud data with on premise data sources. In order to use these new features, you will continue to leverage existing skillsets, such as Tabular, Power Pivot, DAX, and you will be able to connect to database and semantic models you already built, such as existing databases in Analysis Services Multidimensional and Tabular. The goal is to create dashboards leveraging data and models that you already have both on cloud and on premise."
"242","Power BI Visualization","Jens Vestergaard",NA,NA,"300","BI","This session will provide a high-level overview of a subset of the Power BI tools published by Microsoft in Office 365. Attending this session, you will see a live demonstration of Business Analytics scenarios using Microsoft Power BI. Tools included will be SQL Server, Power Pivot, Power View and Power Map."
"243","Power BI as your Business Intelligence Proof of Concept Tool","Adam Aspin",300,2015-03-07,"300","BI","We have all been through the Business Intelligence / Data Warehouse development cycle.Endless theoretical cycles, data mapping exercises, wire-frames for reports. Excel and possibly Visio as the only tools in our armoury. Cheery scrum masters intent on convincing management and users that anything can be refactored in a few hour’s work – even a 20 dimension Terabyte data warehouse and 50 reports that were signed off months ago but that now need “revisiting” given the “new input” from users – who, now that they have finally got their hands on something to play with can begin to imagine what they really want.Well, perhaps Power BI can help you laugh rather than cry when developing your next data warehouse. Instead of starting out with the industrial-strength tools in the SQL Server toolkit consider:• Testing data sources and load processes with Power Query. • Building your initial star schema and aggregations and KPIs with Power Pivot.• Creating reports based on real data using Power View. • Delivering proof of concept via the Cloud with Power BI.Use this toolset to get the feedback that lets you make core adjustments – and potentially discover fundamental issues - sooner rather than later in the development cycle. Then build the solution that you always knew was possible, having scoped and planned more accurately.This short talk takes you through the Power BI product set and explains how you can get analyse, experiment and iterate during the first stages of data warehouse development using Excel and Power BI.  You will see how to give users an instant feel for the possibilities, make the concepts more intuitive and specify the required outputs, aggregations and KPIs more efficiently."
"244","Power BI in the Fast Lane--Visualizing Formula 1","Joey D'Antoni",NA,NA,"200","BI","Power BI provides a great toolkit for building data models and doing rapid analysis of data. When you combine the broad capabilities of Power Query to gather external data through a wide variety of data sources and Open APIs. In this session, you will learn about the entire Power BI toolset using data from the 2014 Formula 1 season. You will learn how to use graphics (track maps and flags) as icons for filtering in Power View. Learn how to relate and manipulate data in a Power Pivot data model, in order to build complex visualizations in Power View and Power Map. Finally, learn to load your worksheet to Power BI, and work with Power Q&A and how it can provide answers from your rich dataset."
"245","Power BI on SAP HANA","Gerhard Brueckl",300,2015-03-06,"300","BI","SAP HANA is ubiquitous nowadays and it will also remain a hot topic in the future. But besides the technical specifications it is also very important how to work with the data in the end and the majority of users still relies on Microsoft Excel here. Especially Office 365 and Power BI enables users to work with this data in a whole new way. In this session I will show how to combine the best of both worlds by using Power BI to load and analyze data that resides in SAP HANA and will highlight the most common pitfalls and what you have to consider."
"246","Power BI- best practices to deliver just-in-time insighs","Satya Jayanty",NA,NA,"300","Dev","We will overview a detailed options about how to deploy Power BI, how to implement configuration parameters and package BI features as a part of Office 365 roll out in your organisation. A value from a best practice follow up is enormous, and it is possible to manage the deployments as trouble-free without having major hiccups on implementation. As a DBA/SystemAdmin you have biggest responsibility to deliver best possible components to data stewards and end-user. Having said that, cloud computing is another aspect of this technology made is possible to get data within few clicks and ticks to the end-user. Let us review how to manage & connect on-premise data to cloud capabilities that can offer full advantage of data catalogue capabilities by keeping data secure as per Information Governance standards.  Not just with nuts and bolts, performance is another aspect that every Admin is keeping up, let us look into few settings on how to maximize performance to optimize access to data as a real-time and how this Power BI features can enable this solution."
"247","Power BI: what, how, why?","Edgar Walther",NA,NA,"200","BI","This talk is about the self-service BI products that Microsoft has to offer. What is Power BI, how does it fit into a corporate BI environment with SQL Server and why do we want to use it? The Power BI products, Power Query, Power Pivot, Power View, Power Map, will also be shown in this demo-heavy session."
"248","Power Map in Real World Scenarios","Reza Rad",NA,NA,"200","BI","Every month there are some new features added to Power BI components. Power Map is the 3D Data Visualization component that works with Geo spatial data. In this session you will learn about new features of Power Map, and using these new features along with existing features in real world scenarios. this session shows how Power Map acts as an important data visualization tool for Geo spatial data visualization scenarios."
"249","Power View and the Cube","Régis Baccaro",NA,NA,"200","BI","Did you know that Power View is not any longer limited to getting data from Tabular models ? Now that Power View users can connect to multidimensional BI Semantic Model (Cubes) we will have a look at how to get the best out of this interactive data exploration, visualization and presentation for multidimensional models. The session will present - An understanding of the Multidimensional Model Objects in Power View - How to create a Shared Report Data Source Connection to a Multidimensional Model - How to create a Power View Report with a Multidimensional Model Data Source - An visual exploration of a Multidimensional Model by using Power View"
"250","Practice(s) Make Perfect","Yaniv Yehuda",NA,NA,"100","Car","Databases are still being managed like legacy code. Integration is difficult, automation is non-existent, and agile is not even used in the same sentence as database.Software development best practices need to be similarly applied to databases or we will be stuck decades behind.In this talk we'll look at the need for and benefits of best practices in database development including version control, deployment automation, and task-based development."
"251","Premature Optimisation? No, just good design decisions!","William Durkin",NA,NA,"200","Dev","It is possible to spend too much time in the search for perfect performance. However, it is not uncommon for poor design decisions in the early stage of development to catch up with you in the future. This session will take a look at some of the common design mistakes made in database development and show how they can cause problems later on."
"252","Presentation design. Why you should care?","Boris Hristov",NA,NA,"300","Car","Design matters and it matters in every aspect of our life. That includes our presentations. Many technical speakers do not believe that how they design their slide deck is important. I have news for you - it is! Your design speaks a lot not only about you, but actually helps your attendees understand your presentation better. How you approach this ""problem"" is crucial and in this session we will learn the 10 fundamental design concepts that you should try to incorporate in each one of your presentations. Design is important and many times it can be play the role of differentiator for you."
"253","Pretty Fly for an Oracle Guy","Mark Pryce-Maher",NA,NA,"300","DBA","If you know SQL Server, then you know a lot more about Oracle than you ever thought you did. This session is for people who know SQL Server, but what to know about Oracle."
"254","Prevention is better than cure!","Ajay Jadoo",300,2015-03-07,"300","DBA","As DBAs, we have to manage a huge number of servers and deal with a high volumes of changes/releases and implement vendor products which need elevated levels of permission to run. As a result, all the control and scrutiny that we wish to exercise becomes hard and almost impossible.  Very often, this results in undesirable settings, sub-optimal setups or bad implementations creeping in our environment – all against best practices or our mandated guidelines. e.g autoshrink, badly named objects. Once they are in, it becomes extremely hard to fix or get rid of many of these issues and the reasons are wide ranging.  With this in mind, this session will explore ways for an administrator to implement solutions to prevent these issues from being introduced in the first place. Or if we cannot stop them, we should be notified about them when they happen. To accomplish this, we will look at Policy Based Management with Central Management Servers. Policy-Based Management gives us the ability to:Define Standard Policies     Selectively Enforce Policies     Automate Policy Checking and Enforcement     Fix Out of Policy Conditions with the Click of a Button  Used in conjunction with Central Management Servers, we can easily control and manage groups of servers centrally. Finally, for settings that Policy Based Management does not cover, we will look at some alternatives (like DDL Triggers) which can be used to prevent unwanted settings or notify us on the spot, if the changes cannot be stopped."
"255","Python and R for SQL and Business Intelligence Professionals","Jennifer Stirrup",NA,NA,"300","BI","When it comes to analyzing data, Hadoop or the R statistical language come readily to mind. Python is yet another one of your secret power tool for SQL Server, data analysis and business intelligence. In this session, we will look at both Python and R and how they can be used in the Microsoft SQL Server, with a focus on the Business Intelligence stack.  Come to this session to see examples of data analysis using both R and Python, and learn how to use these open source power tools to rock your data world in SQL Server. We will look at how these data tools complement each other, with guidance on 'when to use what'. The session assumes no knowledge of either tool, but is aimed at people with a healthy interest in data analysis and SQL Server who would like to know more about what is out there."
"256","Query Optimizer Internals : Traceflag fun","Dave Ballantyne",NA,NA,"500","DBA","The query optimizer is at the heart of SQL Server. Without it SQL Server would be a vastly inferior product, queries would have to be manually tuned at each and every turn, and generally speaking, the optimizer protects us from the complexities and mechanics involved. Much of the optimizer's internal workings are hidden from the user, but can be revealed by using a selection of undocumented trace flags to gain further knowledge and insight into how your queries and data are processed to create a plan.  This session will be a deep dive into the optimizers' internals and not for the faint of heart."
"257","Query Optimizer: What’s New in SQL Server 2014","Benjamin Nevarez",400,2015-03-05,"400","Dev","This session will show you how the query optimizer has been updated to work with the new SQL Server 2014 features and to provide better performance to existing ones. It starts by explaining how the query optimizer is used in Hekaton by both natively compiled stored procedures and by traditional stored procedures accessing memory-optimized tables through the query interop functionality.    The session will then move to cardinality estimation. SQL Server 2014 includes a new cardinality estimator and, since every query has to work with either the new or the old cardinality estimator, it is essential to understand how they work, what their differences are and how to detect and troubleshoot plan regressions and other related problems.  The session concludes explaining incremental statistics. Incremental statistics is a new feature that you can use to update statistics at the partition level which can be an enormous help in updating statistics in large tables."
"258","Query Plans - Operators and Internals","David Morrison",NA,NA,"300","DBA","In this session we will take an in depth look at how query plans work. We will go under the covers and see what happens when you run that query.  We will also take a look at various operators, how they work, why they are chosen and how to avoid them being used in the wrong place / context,. Attendees of this session will walk away with a greater understanding of query plans and the operators, which will enable them to both better interpret their query plans and also write more efficient SQL code"
"259","Query Processing in In-Memory OLTP (Hekaton)","Benjamin Nevarez",NA,NA,"300","Dev","In-Memory OLTP (code name: Hekaton) is the most important new feature in SQL Server 2014, and this session will teach you how query processing and optimization work with this new database engine. After explaining the basics, we will discuss how the query optimizer is used in In-Memory OLTP by both natively compiled stored procedures and by traditional stored procedures accessing memory-optimized tables through the query interop functionality. We will also take a look at how the new hash and range indexes are used, as well as how their performance implications are also covered along with the process of translating the plan created by the query optimizer into C code. Finally, some limitations with the current release will also be explained."
"260","Query Tuning Mastery: Clash of the Row Goals","Adam Machanic",500,2015-03-06,"500","Dev","The fight for better performance is a battle of wits: your mind, your intelligence, and your honor pitted against the less-than-dependable whims of the Query Optimizer. But alas, the arbitrary rewrites and clunky hints leveraged by most developers to get around optimization deficiencies make things feel less like a proper duel and more like a skirmish at the sandbox. To truly engage your enemy you must comprehend his inner workings, and in the case of the Query Optimizer, that means you must delve into the mysteries of ""row goals."" These internal metrics are tracked and enforced within Top iterators--and they exhibit a considerable amount of influence over plan shape and flow, both at compile time and as your query runs. Attend this session to learn how to take charge of optimization, expertly mold your query plans, and gain a new set of tools for eliminating bottlenecks in even your most complex problem queries. En garde!"
"261","RMan and ReportingGirl-joined forces for clean reporting","Gabi Münster",200,2015-03-07,"200","BI","RMan and Reporting Girl join forces to fight the crimes in data visualization. By building a common ground (based on the IBCS standards) they improve their weapons (R and SSRS) that help them in their fight. In this session we are going to present how a metadata store could be used to protect the good people from the evil of ambiguous reports. Based on the metadata store two reporting solutions are created (one in R and one in SSRS)"
"262","Reading the SQL Server Execution Plan","Denny Cherry",200,2015-03-05,"200","Dev","In this session we'll explain what the SQL Execution plan is, how the SQL Server generates it, and how to read the output.  This includes looking at the graphical as well as the XML version of the execution plan.  We'll explore the variety of operators that the execution plan can present you with, and show you how to tell the SQL Server that you want to change the execution plan to get rid of the operators that you don't want to be using any more."
"263","Real Life Master Data Management with SQL Server and MDS","Stephan Stoltze",200,2015-03-05,"200","BI","After struggling with Master Data issues for many years in various BI projects, a lot of companies is now ready to take the first step towards real Master Data Management (MDM). In this session you will learn about common MDM scenarios, and get Real Life examples on how to handle these Scenarios by building a MDM Architecture using SQL Server and Master Data Services."
"264","Relational Data Warehouse Performance Tuning","David Peter Hansen",300,2015-03-06,"300","BI","Your relational Data Warehouse is suffering from performance problems. The nightly batch job is taking longer and longer to run, and users are complaining about bad query performance in the data mart. You know you need to tune it somehow, but where do you begin? In this session we will take a look at some of the most common performance problems that tend to occur in a relational data warehouse. You will learn how to identify these performance problems, and techniques for how to resolve them."
"265","Resource Governor – The DBA’s Best Friend","Ajay Jadoo",NA,NA,"300","DBA","Ever came across those rogue queries that ended up maxing out the CPU/memory/IO resources and caused SQL Server to become very slow and almost unusable? I bet you were not happy and neither would the CEO be when his critical and time-sensitive business report took ages to complete. Don’t worry, you can stop this –the power is in your hands. Resource Governor is a real working dog and can be the DBA’s best friend. It provides DBAs with a way to deal with rogue and runaway queries which could affect SQL Server’s performance and all other users. SQL Server Resource Governor is a feature than you can use to manage SQL Server workload and system resource consumption. It enables you to specify limits on the amount of CPU, physical IO(since SQL Server 2014), and memory that incoming application requests can use. By leveraging resource governor in SQL Server, you can achieve Predictable Performance especially in consolidated or shared SQL Server instances. Those rogue queries can be throttled to prevent them affecting everybody else. Come to learn (with the help of some demos) how to get started with Resource Governor and how to use it to limit the resources which particular users/applications can use or how to ensure some of them get guaranteed amount of resources.  We will cover the SQL Server 2014 enhancement to Resource Governor – the ability to restrict IO, in detail."
"266","Run your DBA morning checklist with policy based management","Pieter Vanhove",NA,NA,"300","DBA","In my job as a SQL Consultant, I have my weekly recurring customers. They don’t have a DBA, so I have to perform the daily DBA checklist on a weekly basis ;) Initially, I've started with executing some T-SQL scripts to verify the SQL Servers. But as more servers were installed, my DBA checklist became really time consuming and I didn't even have the time for a coffee… In this session you will learn how you can perform your DBA morning checklist while sipping coffee. I will demonstrate how you can use Policy Based Management to evaluate your servers and how I configured my setup. By the end of this session, I guarantee you will have more time for your morning coffee!"
"267","SAN eye for SQL girl/guy-its all about SQL","Hue Holleran",NA,NA,"500","DBA","The session focuses entirely on troubleshooting your SAN using free Windows and SQL Server tools - with a 100% focus on SQL Server. Have you ever suspected that your SAN was/is the cause of bad SQL Server performance BUT you can't 100% prove it?  OR do your SAN people say 'it's all OK' but YOU know something's not right? An unashamedly 500 session in parts - so expect an upbeat session with plenty of command-line and hardcore troubleshooting - by someone who does this every day. This session gives you the tools and techniques to peel back the curtain on how your SAN impacts SQL Server. The concepts are useful if you host SQL Server on any SAN - and despite being a 500 session, people of all levels of SAN expertise are welcome - BUT expect to be challenged in parts . . . come along, it'll be challenging fun!"
"268","SQL 2014 Always On Availability Groups – Nuts and Bolts","Bob Duffy",NA,NA,"200","DBA","Availability Groups, first introduced in SQL 2012 has enjoyed a lot of investment from Microsoft and without doubt is the “goto” HADR technology for the foreseeable future.  In this demo based session we will start with a single un-protected database and attempt to migrate it to Availability Groups stretching between on-premise and cloud while  utilising as many new features as possible  This session will be useful for anyone who has not yet used Availability Groups in SQL 2014 and wants to see it in action."
"269","SQL 2014 In-Memory OLTP: Lessons learned and best practices","Scott Klein",NA,NA,"300","DBA","This session will discuss the best practices and lessons learned while implementing and configuring SQL Server 2014 in-memory OLTP as customers large and small, including many global ISVs in the financial, retail, and content management industries. We will discuss experiences and next steps, and highlight workarounds for key scenarios during implementation and rollout. We’ll look at the progression of performing benchmarking to understand the performance impact throughout the process."
"270","SQL Azure for Beginners -An Introduction of the Cloud","Tobiasz Janusz Koprowski",NA,NA,"300","DBA","Microsoft released SQL Azure more than three years ago - that's enough time for testing (I hope!). So, are you ready to move your data to the Cloud? If you’re considering a business (i.e. a production environment) in the Cloud, you need to think about methods for backing up your data, a backup plan for your data and, eventually, restoring with Red Gate Cloud Services (and not only). In this session, you’ll see the differences, functionality, restrictions, and opportunities in SQL Azure and On-Premise SQL Server 2008/2008 R2/2012. We’ll consider topics such as how to be prepared for backup and restore, and which parts of a cloud environment are most important: keys, triggers, indexes, prices, security, service level agreements, etc."
"271","SQL Azure for Beginners -An Introduction of the Cloud","Tobiasz Janusz Koprowski",NA,NA,"200","DBA","Microsoft released SQL Azure more than three years ago - that's enough time for testing (I hope!). So, are you ready to move your data to the Cloud? If you’re considering a business (i.e. a production environment) in the Cloud, you need to think about methods for backing up your data, a backup plan for your data and, eventually, restoring with Red Gate Cloud Services (and not only). In this session, you’ll see the differences, functionality, restrictions, and opportunities in SQL Azure and On-Premise SQL Server 2008/2008 R2/2012. We’ll consider topics such as how to be prepared for backup and restore, and which parts of a cloud environment are most important: keys, triggers, indexes, prices, security, service level agreements, etc."
"272","SQL Data Warehouse Design Patterns","Dmytro Andriychenko",NA,NA,"300","BI","There are clear rules of modelling an OLTP relational database developed by Boyce–Codd before I was even born. However, dimensional modelling patterns are still rather vague and modellers are faced with some tough decisions in real world of complex data relationships, tricky/absent reporting requirements and various aspects of performance and ease of use. I would like to present a set of design patterns to use when tackling common DW modelling problems and challenges: when to use star or snowflake, junk and mini dimensions, bridge tables and other data warehouse modelling tricks.  There are many books on DW terminology and general theory, so I will assume you have at least a grasp of common lingo: dimension, fact, slowly changing dimension types, star and snowflake schemas, etc.  Patterns I present aim to follow one common structure: Problem (What?) -> Solution(How?) -> Reasons (Why?)->Consequences (Why not?)  The idea is not just presenting a common framework for sharing what works and what doesn’t, but also explain why that is the case and what happens when the patterns are not followed. These patterns are equally applicable for a Kimball or Inmon religion, so both camps are very welcome to attend."
"273","SQL Internals, Recovery Models, & Backups! OH MY!","Bradley Ball",NA,NA,"300","DBA","When learning about SQL Server, really deeply learning, there were a few “key” concepts that you hear repeated often by top speakers and SQL MVP’s. Internals, recovery models, and backups.  They are interconnected.  As the learning continued, it was self-evident how understanding basic data internals with pages, extents, and allocation bitmaps or database recovery models, the transaction log, and VLF’s or advanced backup options backups like stripping and piecemeal restores affected the uses of SQL Server.  They affected not just SQL Server but the way you make decisions in order to determine how best to use SQL Server to support your business.  This session enables you to have that core set of understanding required for advanced SQL learning."
"274","SQL Server 2014 Features EVERYONE Can Use","Richard Douglas",NA,NA,"200","DBA","You love technology and have a passion to get things done, so when a new release of SQL Server comes out you’re ecstatic! Unfortunately your employer’s budget can’t stretch to the premium Enterprise edition and all the new sessions are showing Enterprise only features. Don’t worry, in this session Richard Douglas will show you all the new features available in the Standard and Business Intelligence Editions that EVERYONE can benefit from."
"275","SQL Server 2014 In-Memory OLTP Deep Dive","Klaus Aschenbrenner",300,2015-03-05,"300","DBA","Hekaton is the Greek word for 100 - the goal of In-Memory OLTP in SQL Server 2014 is to improve query performance up to 100 times. In this session we will look under the cover of Hekaton and the Multi Version Concurrency Control (MVCC) principles on which Hekaton is build. We will start the session by looking on the challenges that can be solved by Hekaton, especially Locking, Blocking, and Latching within SQL Server. Based on that foundation we move into the principles of MVCC, and how a Storage Engine and Transaction Manager can be built based on that concept."
"276","SQL Server 2014 New Features (not Hekaton!)","David Williams",NA,NA,"200","DBA","New Features of SQL Server 2014 DB Engine not including Hekaton - Backup Enhancement (Azure, Encryption)  - Partition Switching and Indexing - Managing the lock priority of online operations - Columnstore indexes (updatable, Archival data compression) - Incremental Statistics  - Security Enhancements  - AlwaysOn enhancements  - Buffer pool extension onto SSDs - Resource Governor enhancements for physical IO - Improved optimizer with new costings."
"277","SQL Server 2014-Deep Dive in In-Memory OLTP","Andreas Wolter",NA,NA,"400","DBA","Last year the new In-Memory OLTP Engine in SQL Server 2014 had its premiere. Now we will take a closer look at „XTP“-Engine and uncover the technical implementation of memory-optimized tables & indexes, as well as background processes that are  responsible for the data-structures: the merge-process and the garbage-collector."
"278","SQL Server 2014-New Cardinality Estimator","Milos Radivojevic",NA,NA,"400","DBA","In SQL Server 2014 query processing has been improved. What we can expect from new cardinality estimator? Does it really estimate better? Will our execution plans be better after migration to 2014? All of them? Is the key ascending column statistics problem solved in new version? Do we finally can have more than 200 steps in the statistics histogram per table? What about column correlation and cardinality estimates - are the predicates still completely independent? This session will answers all these questions and will demonstrate new query processing capabilities and compare them with those from SQL Server2012."
